-> 1s
	42.01
	39.96
	40.36
	40.54
	40.44
	40.58
	40.75
	40.20
	40.57
	40.51
	40.47
	39.93
	40.59
	40.66
	40.64
	40.69
	40.42
	40.46
	40.36
	40.78
	40.45
	40.86
	40.47
	40.75
	40.43

	Average: 40
	Standard deviation: 0.489898

-> 2s
	40.42
	40.94
	40.46
	40.62
	40.44
	40.83
	40.27
	40.19
	41.12
	40.48
	40.43
	40.63
	40.68
	40.64
	40.48
	40.55
	40.60
	40.56
	40.48
	40.19
	40.72
	40.03
	40.37
	40.52
	40.52

	Average: 40.04
	Standard deviation: 0.2

-> 3s
	40.45
	39.89
	40.14
	40.80
	40.52
	40.67
	40.78
	40.21
	40.52
	40.52
	40.12
	41.18
	40.30
	39.98
	40.33
	39.86
	40.51
	40.46
	40.43
	39.99
	40.25
	40.50
	40.34
	40.06
	40.48

	Average: 39.88
	Standard deviation: 0.979796

-> 4s
	40.70
	40.09
	40.30
	40.47
	40.30
	40.83
	40.50
	40.58
	40.42
	40.33
	40.75
	40.72
	40.56
	40.62
	40.74
	40.30
	40.68
	40.64
	40.28
	40.48
	40.95
	40.31
	40.73
	40.05
	40.31

	Average: 40
	Standard deviation: 0

-> 5s
	40.31
	40.12
	40.32
	40.59
	40.31
	40.81
	40.87
	40.53
	40.45
	39.97
	40.37
	40.38
	40.44
	40.43
	40.14
	39.94
	40.16
	40.21
	40.56
	40.89
	40.37
	40.28
	40.09
	41.13
	40.60

	Average: 39.96
	Standard deviation: 1.0198

-> 6s
	40.57
	40.31
	40.87
	39.82
	40.42
	41.12
	40.73
	40.65
	41.43
	40.41
	40.85
	39.90
	41.12
	40.58
	40.62
	40.48
	40.41
	40.60
	40.42
	40.89
	39.88
	41.09
	39.97
	40.35
	40.40

	Average: 40
	Standard deviation: 0.565685

-> 7s
	40.45
	40.89
	40.32
	40.58
	40.75
	40.39
	40.63
	39.96
	40.34
	40.51
	40.58
	40.13
	39.78
	40.56
	40.50
	40.55
	40.33
	40.07
	40.83
	40.93
	40.33
	41.16
	40.05
	40.57
	40.04

	Average: 39.96
	Standard deviation: 1.0198

-> 8s
	40.23
	40.71
	40.53
	40.45
