-> 1s
	9.47
	10.34
	10.29
	10.02
	9.64
	10.12
	10.25
	10.14
	10.60
	10.09
	10.20
	10.22
	10.30
	10.36
	10.51
	10.22
	10.42
	10.17
	10.43
	9.92
	10.57
	10.12
	10.54
	10.41
	10.13
	10.21
	10.31
	9.42
	10.11
	10.33

	Average: 9.66667
	Standard deviation: 0.829561

-> 7s
	10.07
	10.23
	10.24
	10.48
	10.08
	9.54
	10.27
	9.98
	10.13
	10.31
	10.39
	10.28
	10.39
	10.23
	10.30
	10.18
	9.67
	9.91
	10.39
	10.27
	10.20
	10.44
	10.20
	10.39
	10.29
	10.29
	10.36
	10.02
	10.09
	10.04
	9.92
	10.23
	9.97
	9.44
	10.26
	10.18
	9.61
	10.45
	10.19
	10.33
	10.21
	9.88
	9.65
	9.38
	10.32
	10.17
	10.60
	9.99
	10.01
	10.36
	10.54
	10.16
	10.11
	9.50
	10.26
	10.11
	10.33
	10.46
	10.16
	10.41
	10.10
	10.02
	10.55
	10.12
	9.65
	10.09
	10.39
	10.11
	10.45
	10.40
	10.28
	10.19
	10.40
	10.14
	10.20
	10.26
	10.53
	10.14
	10.41
	9.98
	9.41
	10.43
	10.17
	10.40
	10.45
	10.35
	10.31
	10.00
	10.51
	10.36
	10.62
	10.69

	Average: 9.82609
	Standard deviation: 0.908893

-> 8s
	10.46
	10.26
	10.35
	9.98
	10.25
	10.55
	10.52
	9.91
	9.53
	9.82
	9.39
	9.82
	10.15
	10.51
	9.73
	10.30
	9.67
	9.93
	9.91
	10.61
	10.47
	9.98
	9.70
	9.89
	10.35
	9.36
	9.21
	9.66
	10.00
	9.41
	10.12
	10.55
	10.04
	10.41
	10.41
	10.17
	10.32
	10.24
	10.04
	10.36
	9.52
	9.98
	10.35
	10.46
	9.46
	10.07
	10.01
	9.66
	10.40
	10.35
	9.92
	10.49
	10.34
	10.05
	9.47
	10.27
	9.96
	9.65
	10.15
	10.51
	10.25
	10.08
	10.52
	10.24
	10.25
	10.48
	10.57
	9.97
	10.28
	10.33
	10.48
	9.78
	10.28
	10.21
	10.14
	10.37
	10.13
	10.18
	10.56
	10.19
	10.34
	10.28
	10.36
	9.44
	10.04
	10.22
	10.55
	10.07
	10.46
	10.06
	10.33
	9.62
	10.06

	Average: 9.68817
	Standard deviation: 0.829561

-> 9s
	9.35
	9.89
	10.59
	10.49
	10.04
	10.48
	9.88
	10.52
	10.50
	10.14
	10.35
	10.13
	10.39
	9.71
	10.01
	10.50
	10.14
	10.36
	10.31
	9.72
	9.88
	9.50
	9.51
	9.61
	10.51
	9.58
	9.82
	10.50
	10.12
	9.60
	10.06
	10.19
	10.38
	9.88
	9.56
	9.98
	9.68
	9.98
	10.04
	9.95
	9.68
	9.90
	10.02
	9.86
	10.35
	10.16
	9.54
	9.38
	9.82
	10.64
	10.13
	10.18
	9.72
	9.74
	9.62
	10.21
	9.60
	10.27
	10.58
	10.07
	10.19
	10.08
	10.40
	10.27
	10.29
	10.39
	10.34
	10.24
	10.06
	10.05
	10.53
	10.29
	9.61
	10.01
	10.29
	9.98
	10.44
	9.62
	10.25
	10.43
	9.49
	9.99
	10.08
	10.35
	10.15
	9.66
	10.05
	10.17
	10.21
	9.66
	10.19
	10.08
	10.50

	Average: 9.62366
	Standard deviation: 0.789719

-> 10s
	10.24
	9.89
	10.31
	9.48
	9.29
	9.30
	9.95
	9.96
	10.22
	9.42
	9.81
	9.49
	9.62
	10.43
	10.07
	10.35
	10.27
	10.25
	10.05
	10.12
	10.09
	10.21
	9.89
	10.22
	10.46
	9.46
	10.17
	9.80
	9.58
	9.61
	9.96
	10.21
	9.59
	10.31
	10.20
	9.82
	10.03
	9.98
	10.03
	9.93
	9.80
	9.89
	9.35
	9.83
	9.45
	9.99
	9.84
	9.86
	10.49
	10.28
	10.05
	10.43
	10.15
	10.33
	10.15
	10.58
	9.76
	9.54
	10.64
	9.62
